Start Community,End Community,Flow Count,Flow Percentage
0,4,19,0.772986167615948
1,1,655,26.64768104149715
3,2,16,0.6509357200976403
4,4,33,1.3425549227013833
5,4,4,0.16273393002441008
6,6,576,23.433685923515053
7,7,45,1.8307567127746134
8,6,14,0.5695687550854354
2,2,362,14.727420667209113
3,4,1,0.04068348250610252
4,0,17,0.6916192026037429
4,5,5,0.20341741253051263
0,0,17,0.6916192026037429
0,2,1,0.04068348250610252
5,1,7,0.2847843775427177
4,2,1,0.04068348250610252
0,6,14,0.5695687550854354
7,3,11,0.44751830756712774
2,6,2,0.08136696501220504
6,4,1,0.04068348250610252
4,1,10,0.40683482506102525
3,3,347,14.117168429617575
6,2,1,0.04068348250610252
1,3,34,1.3832384052074858
2,1,22,0.8950366151342555
1,2,1,0.04068348250610252
6,9,2,0.08136696501220504
6,1,1,0.04068348250610252
9,1,29,1.1798209926769732
8,1,6,0.24410089503661514
1,5,3,0.12205044751830757
5,5,110,4.475183075671278
3,1,3,0.12205044751830757
3,6,8,0.32546786004882017
3,9,24,0.9764035801464606
9,9,17,0.6916192026037429
1,8,12,0.4882017900732303
2,3,18,0.7323026851098454
3,7,8,0.32546786004882017
9,6,1,0.04068348250610252
