Community,Token Name,Count,Snapshot
0,Sushi,7,2021-06
0,Curve,1,2021-06
0,Yearn Finance,11,2021-06
1,Lido,18,2021-06
3,Maker,21,2021-06
4,Uniswap,16,2021-06
4,Curve,1,2021-06
5,Compound,17,2021-06
6,Curve,8,2021-06
7,Aave,6,2021-06
8,Balancer,9,2021-06
2,1Inch,3,2021-06
0,Maker,20,2021-07
1,Lido,18,2021-07
2,Compound,15,2021-07
3,Uniswap,13,2021-07
3,Curve,1,2021-07
3,1Inch,3,2021-07
4,Sushi,10,2021-07
4,Yearn Finance,11,2021-07
4,Curve,1,2021-07
5,Balancer,7,2021-07
6,Aave,6,2021-07
6,Curve,9,2021-07
0,Lido,18,2021-08
1,Aave,9,2021-08
1,Sushi,7,2021-08
1,Yearn Finance,13,2021-08
1,Curve,1,2021-08
3,Curve,9,2021-08
4,Uniswap,14,2021-08
4,Curve,1,2021-08
4,1Inch,2,2021-08
5,Maker,19,2021-08
6,Compound,15,2021-08
2,Balancer,8,2021-08
5,Yearn Finance,12,2021-09
5,Curve,2,2021-09
5,Sushi,7,2021-09
5,Aave,1,2021-09
1,Curve,8,2021-09
2,Compound,15,2021-09
3,Lido,18,2021-09
4,Maker,17,2021-09
7,Uniswap,14,2021-09
7,Curve,1,2021-09
7,1Inch,2,2021-09
6,Balancer,10,2021-09
0,Aave,7,2021-09
0,Compound,15,2021-10
1,Uniswap,13,2021-10
1,Curve,1,2021-10
2,Maker,15,2021-10
2,Curve,1,2021-10
2,1Inch,2,2021-10
3,Lido,20,2021-10
4,Aave,10,2021-10
6,Sushi,8,2021-10
6,Yearn Finance,11,2021-10
7,Curve,13,2021-10
5,Balancer,10,2021-10
0,Convex,5,2021-11
5,Yearn Finance,10,2021-11
5,Curve,2,2021-11
5,Sushi,7,2021-11
2,Curve,10,2021-11
2,Aave,9,2021-11
3,Balancer,10,2021-11
4,Lido,19,2021-11
6,Uniswap,14,2021-11
7,Maker,14,2021-11
